"Model","Node","NStates","State","Link","LinkScale","Physics","ForceAndMotion","LinearMomentum","Energy","Torque","NFL","NSL","NTL","POfMom","ConOfMom","EnergyTransfer","EnergyDissipate","PropertiesofTorque","StaticEquilibrium","Rules","A.Physics","A.ForceAndMotion","A.LinearMomentum","A.Energy","A.Torque","A.NFL","A.NSL","A.NTL","A.POfMom","A.ConOfMom","A.EnergyTransfer","A.EnergyDissipate","A.PropertiesofTorque","A.StaticEquilibrium","A","B.Physics","B.ForceAndMotion","B.LinearMomentum","B.Energy","B.Torque","B.NFL","B.NSL","B.NTL","B.POfMom","B.ConOfMom","B.EnergyTransfer","B.EnergyDissipate","B.PropertiesofTorque","B.StaticEquilibrium","B","PriorWeight","",""
"Angels","TrophyLevel","3","Gold","partialCredit","NA","0","0","0","0","0","0","1","1","0","0","0","0","0","0","""Compensatory""","NA","NA","NA","NA","NA","NA","0.64","0.96","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-2","","",""
"Angels","TrophyLevel","NA","Silver","","NA","0","0","0","0","0","0","1","1","0","0","0","0","0","0","","NA","NA","NA","NA","NA","NA","0.64","0.96","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-2","","",""
"Angels","SliderAdjust","4","Zero","partialCredit","NA","0","0","0","0","0","0","1","1","0","0","0","0","0","0","""Compensatory""","NA","NA","NA","NA","NA","NA","0.64","0.96","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-2","","",""
"Angels","SliderAdjust","NA","One","","NA","0","0","0","0","0","0","1","1","0","0","0","0","0","0","","NA","NA","NA","NA","NA","NA","0.64","0.96","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-2","","",""
"Angels","SliderAdjust","NA","Two","","NA","0","0","0","0","0","0","1","1","0","0","0","0","0","0","","NA","NA","NA","NA","NA","NA","0.64","0.96","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-2","","",""
"Angels","AppropriateSlider","4","almostAlways","partialCredit","NA","0","0","0","0","0","0","1","1","0","0","0","0","0","0","""Compensatory""","NA","NA","NA","NA","NA","NA","0.64","0.96","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-2","","",""
"Angels","AppropriateSlider","NA","mostly","","NA","0","0","0","0","0","0","1","1","0","0","0","0","0","0","","NA","NA","NA","NA","NA","NA","0.64","0.96","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-2","","",""
"Angels","AppropriateSlider","NA","mostlyNot","","NA","0","0","0","0","0","0","1","1","0","0","0","0","0","0","","NA","NA","NA","NA","NA","NA","0.64","0.96","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-2","","",""
"Angels","Bounciness","2","Yes","partialCredit","NA","0","0","0","0","0","0","1","1","0","0","0","0","0","0","""Compensatory""","NA","NA","NA","NA","NA","NA","0.64","0.96","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-2","","",""
"Angels","Duration","4","Q1","partialCredit","NA","0","0","0","0","0","0","1","1","0","0","0","0","0","0","""Compensatory""","NA","NA","NA","NA","NA","NA","0.64","0.96","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-2","","",""
"Angels","Duration","NA","Q2","","NA","0","0","0","0","0","0","1","1","0","0","0","0","0","0","","NA","NA","NA","NA","NA","NA","0.64","0.96","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-2","","",""
"Angels","Duration","NA","Q3","","NA","0","0","0","0","0","0","1","1","0","0","0","0","0","0","","NA","NA","NA","NA","NA","NA","0.64","0.96","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-2","","",""
"BackandForth","TrophyLevel","2","Gold","partialCredit","NA","0","0","0","0","0","0","1","0","0","0","0","0","0","1","""Compensatory""","NA","NA","NA","NA","NA","NA","0.64","NA","NA","NA","NA","NA","NA","0.96","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-2","","",""
"BackandForth","PufferClicks","4","Zero","partialCredit","NA","0","0","0","0","0","0","1","0","0","0","0","0","0","1","""Compensatory""","NA","NA","NA","NA","NA","NA","0.64","NA","NA","NA","NA","NA","NA","0.96","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-2","","",""
"BackandForth","PufferClicks","NA","One","","NA","0","0","0","0","0","0","1","0","0","0","0","0","0","1","","NA","NA","NA","NA","NA","NA","0.64","NA","NA","NA","NA","NA","NA","0.96","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-2","","",""
